ID,Name,Type,Jan 2015 (kBtu),Feb 2015 (kBtu),Mar 2015 (kBtu),Apr 2015 (kBtu),May 2015 (kBtu),Jun 2015 (kBtu),Jul 2015 (kBtu),Aug 2015 (kBtu),Sep 2015 (kBtu),Oct 2015 (kBtu),Nov 2015 (kBtu),Dec 2015 (kBtu),Jan 2016 (kBtu),Feb 2016 (kBtu),Mar 2016 (kBtu),Apr 2016 (kBtu),May 2016 (kBtu),Jun 2016 (kBtu),Jul 2016 (kBtu),Aug 2016 (kBtu),Sep 2016 (kBtu),Oct 2016 (kBtu),Nov 2016 (kBtu),Dec 2016 (kBtu),Jan 2017 (kBtu),Feb 2017 (kBtu),Mar 2017 (kBtu),Apr 2017 (kBtu),May 2017 (kBtu),Jun 2017 (kBtu),Jul 2017 (kBtu),Aug 2017 (kBtu),Sep 2017 (kBtu),Oct 2017 (kBtu),Nov 2017 (kBtu),Dec 2017 (kBtu),Jan 2018 (kBtu),Feb 2018 (kBtu),Mar 2018 (kBtu),Apr 2018 (kBtu),May 2018 (kBtu),Jun 2018 (kBtu),Jul 2018 (kBtu),Aug 2018 (kBtu),Sep 2018 (kBtu),Oct 2018 (kBtu),Nov 2018 (kBtu),Dec 2018 (kBtu),Jan 2019 (kBtu),Feb 2019 (kBtu),Mar 2019 (kBtu),Apr 2019 (kBtu),May 2019 (kBtu),Jun 2019 (kBtu),Jul 2019 (kBtu),Aug 2019 (kBtu),Sep 2019 (kBtu),Oct 2019 (kBtu),Nov 2019 (kBtu),Dec 2019 (kBtu),Jan 2020 (kBtu),Feb 2020 (kBtu),Mar 2020 (kBtu),Apr 2020 (kBtu),May 2020 (kBtu),Jun 2020 (kBtu),Jul 2020 (kBtu),Aug 2020 (kBtu),Sep 2020 (kBtu),Oct 2020 (kBtu),Nov 2020 (kBtu),Dec 2020 (kBtu),Jan 2021 (kBtu),Feb 2021 (kBtu),Mar 2021 (kBtu),Apr 2021 (kBtu),May 2021 (kBtu),Jun 2021 (kBtu),Jul 2021 (kBtu),Aug 2021 (kBtu),Sep 2021 (kBtu),Oct 2021 (kBtu),Nov 2021 (kBtu),Dec 2021 (kBtu),Jan 2022 (kBtu),Feb 2022 (kBtu),Mar 2022 (kBtu),Apr 2022 (kBtu),May 2022 (kBtu),Jun 2022 (kBtu),Jul 2022 (kBtu),Aug 2022 (kBtu),Sep 2022 (kBtu),Oct 2022 (kBtu),Nov 2022 (kBtu),Dec 2022 (kBtu),Jan 2023 (kBtu),Feb 2023 (kBtu),Mar 2023 (kBtu),Apr 2023 (kBtu),May 2023 (kBtu),Jun 2023 (kBtu),Jul 2023 (kBtu),Aug 2023 (kBtu),Sep 2023 (kBtu),Oct 2023 (kBtu),Nov 2023 (kBtu),Dec 2023 (kBtu),Total
250,Leonardtown Community Center,Office,"608,231","711,060","575,410","445,737","445,371","373,688","427,773","465,272","567,218","483,005","448,069","425,634","576,449","663,168","537,290","463,760","322,271","401,539","468,265","449,451","504,067","450,871","580,796","559,573","696,588","383,207","593,573","429,815","262,786","412,409","355,813","292,910","486,027","299,589","462,139","568,033","965,683","737,903","601,868","515,272","541,934","464,736","495,310","588,797","546,344","613,263","706,075","667,941","635,605","556,340","678,159","622,861","661,364","577,342","720,933","721,429","731,646","670,815","593,627","653,696","656,572","661,172","564,821","393,085","433,858","453,432","529,795","474,635","442,445","481,864","455,832","342,376","532,491","523,646","468,264","402,228","377,603","416,530","431,469","681,535","695,259","799,519","909,966","1,023,382","1,159,426","690,191","594,279","510,324","545,052","593,210","558,071","470,807","474,889","447,124","594,747","923,227","900,216","911,305","1,040,347","511,551","573,208","557,913","617,840","590,242","682,431","668,573","707,818","825,570","61,765,940"
251,Denton Area Dining Hall,Other,"1,807,271","2,111,052","1,618,784","1,309,197","814,692","667,308","731,702","764,800","905,069","1,194,866","1,092,988","1,175,505","1,402,820","1,601,628","1,303,851","1,176,132","996,016","1,481,988","1,661,320","1,893,524","1,790,156","1,637,198","1,210,817","1,779,003","1,421,977","1,571,306","1,641,173","1,423,606","1,237,037","648,913","745,774","1,198,634","1,151,461","1,122,286","2,087,907","1,686,078","1,258,654","1,592,985","1,809,003","1,348,798","933,223","867,691","813,497","1,207,559","1,561,103","1,652,429","854,189","1,445,493","1,318,201","1,596,743","1,426,570","1,284,825","971,859","457,085","624,536","1,010,985","1,307,720","1,311,465","996,001","1,313,480","1,072,662","1,417,652","511,385","302,156","290,069","365,102","570,668","933,491","1,267,786","1,006,284","1,023,300","323,042","993,294","2,753,480","1,086,953","1,096,308","518,065","403,240","627,255","1,173,673","1,489,655","1,366,237","1,373,113","1,318,313","1,324,014","1,788,190","1,417,653","1,449,932","1,056,042","828,622","1,043,874","1,390,543","1,448,180","1,479,864","1,430,366","1,704,275","1,308,697","1,596,423","1,657,335","1,926,863","1,578,403","1,186,353","1,162,159","1,536,592","1,688,296","1,612,579","1,797,327","1,662,382","135,386,081"
252,Denton Hall,Residential,"936,338","1,286,446","825,684","609,966","359,968","209,552","195,488","205,404","295,951","557,991","590,159","665,300","832,080","911,677","674,530","647,062","510,482","1,110,275","667,932","1,063,915","1,185,064","616,762","671,379","965,370","901,299","859,313","874,188","716,876","698,967","671,070","682,981","606,565","670,957","785,809","662,454","910,425","757,722","869,318","756,750","655,771","609,813","466,576","622,869","822,545","958,878","745,895","710,833","742,528","694,129","874,261","581,508","638,499","713,623","609,428","909,397","978,565","1,063,221","815,199","643,069","792,713","703,839","843,538","475,927","450,618","402,142","566,597","275,975","939,607","769,437","659,785","538,788","729,942","790,621","849,264","526,795","603,099","437,561","480,798","778,662","837,608","1,038,214","827,559","710,684","667,419","960,540","901,120","710,236","727,152","775,170","803,200","1,090,541","1,469,809","414,681","553,300","591,205","860,737","625,435","722,963","766,584","737,373","355,879","752,845","848,586","1,009,390","937,140","717,481","734,108","907,582","78,546,321"
253,Easton Hall,Residential,"796,267","1,221,197","802,253","481,988","201,688","87,648","81,634","95,424","272,852","773,732","1,032,825","894,700","786,856","916,892","561,449","459,076","280,447","87,800","87,039","98,560","180,076","771,855","311,469","673,312","633,122","634,253","759,977","338,350","212,407","103,758","72,115","88,626","72,421","296,035","411,947","758,700","1,603,912","1,168,022","763,314","496,009","224,682","87,351","93,628","113,997","230,332","513,401","776,666","850,310","764,018","1,010,244","722,558","429,784","516,090","475,452","577,738","636,162","482,989","812,640","1,062,707","1,033,948","634,911","751,167","278,559","278,562","105,538","58,836","77,595","139,609","173,836","253,907","347,132","545,813","568,893","649,898","313,191","251,581","166,503","66,143","65,348","117,918","165,964","211,898","604,072","500,503","803,790","762,233","534,059","389,659","154,096","73,902","83,949","138,061","171,810","319,452","500,307","829,555","564,724","646,655","632,104","308,866","137,097","64,943","53,511","134,048","181,732","324,312","539,724","656,992","48,117,661"
254,Elkton Hall,Residential,"838,166","1,037,397","747,110","572,081","289,941","202,431","192,164","186,716","351,075","659,300","644,012","785,563","873,297","990,521","794,177","734,354","585,835","545,417","613,524","741,400","839,068","659,903","648,654","2,155,916","683,435","850,065","823,910","675,239","594,698","560,494","857,874","643,304","563,132","852,977","758,182","982,981","945,386","914,120","880,578","698,587","654,947","532,674","586,730","760,747","962,512","764,191","683,900","782,110","878,059","826,132","704,509","763,112","821,857","493,784","732,239","1,343,590","1,121,536","910,775","677,769","734,518","577,165","790,521","546,260","437,270","489,532","892,950","547,874","874,201","470,475","803,149","583,881","777,845","801,510","828,551","592,975","602,936","546,207","583,981","572,316","910,762","900,302","856,299","635,254","657,596","956,413","903,298","791,355","794,532","759,867","955,816","927,693","1,336,522","1,080,482","922,233","715,582","913,416","780,370","910,031","855,574","1,300,745","599,986","445,205","403,826","636,245","537,497","600,138","699,748","593,231","80,408,291"
256,Ellicott Hall,Residential,"1,040,830","1,217,867","1,029,453","482,369","238,262","118,150","104,077","135,218","310,893","315,567","917,526","548,436","887,193","1,103,621","1,101,114","536,992","235,016","123,758","328,147","511,791","665,530","821,067","703,646","927,278","778,878","932,059","978,217","649,725","439,059","76,335","187,389","309,126","350,720","358,808","466,477","780,060","1,652,706","2,037,940","838,270","617,760","223,088","79,586","97,729","183,269","331,403","405,341","576,901","861,561","466,308","566,291","1,878,449","481,492","263,657","88,400","90,782","179,695","362,276","622,805","770,788","936,381","788,600","914,028","591,247","258,233","77,338","62,144","101,200","352,675","202,652","227,685","575,940","887,920","862,806","907,742","460,055","397,862","117,349","85,467","114,090","398,757","323,523","401,006","760,152","785,929","1,112,675","916,024","1,120,318","700,131","184,413","93,165","95,539","164,397","283,249","496,849","697,663","1,102,872","816,165","809,516","931,377","411,757","183,768","70,656","70,418","195,162","309,402","294,328","852,085","776,007","58,665,871"
257,Ellicott Area Dining Hall,Other,"2,176,433","1,733,236","1,033,411","1,403,421","1,270,197","1,304,976","1,220,961","1,355,063","1,802,332","2,067,462","1,826,872","994,953","728,247","2,218,909","1,997,619","1,893,341","1,633,587","952,605","971,416","1,540,319","2,000,385","2,248,994","1,852,146","2,214,563","1,838,436","1,951,087","1,163,370","1,392,759","1,835,355","1,083,632","1,188,719","1,328,829","1,622,898","1,748,770","2,189,629","1,984,593","1,759,317","2,262,355","1,974,707","2,134,714","1,592,608","1,316,508","1,582,539","1,736,251","1,581,182","1,896,911","2,094,806","1,942,489","2,096,572","1,896,833","2,249,516","2,221,278","2,066,650","1,485,839","1,652,676","1,361,517","1,679,943","1,849,304","1,929,091","2,075,703","1,400,593","2,424,501","1,779,237","418,947","3,302,035","1,207,671","2,390,004","2,172,499","3,017,423","2,327,450","2,065,754","1,903,176","1,567,628","1,633,270","1,979,050","2,047,638","1,343,151","1,451,514","1,212,267","1,988,267","2,383,215","2,106,016","1,396,526","1,724,854","1,757,507","2,093,449","2,128,391","2,573,176","2,352,245","2,027,730","3,471,332","1,436,409","1,339,902","985,549","878,910","1,118,702","904,498","945,823","1,152,757","1,230,147","918,503","1,314,710","852,237","1,259,301","1,008,428","953,953","1,110,320","996,365","182,261,865"
258,Hagerstown Hall,Residential,"1,181,461","1,111,065","1,133,519","590,043","315,141","180,861","193,574","291,704","368,551","486,942","752,569","964,280","999,033","1,002,482","789,256","543,953","265,103","154,763","180,484","363,055","591,890","727,746","754,467","1,128,405","810,239","969,311","986,659","644,267","367,230","217,290","196,004","281,106","339,943","640,439","948,491","880,446","920,337","904,075","1,037,099","780,614","337,501","170,417","130,314","325,666","370,102","553,717","897,539","939,368","1,078,526","808,116","901,642","688,267","61,489","112,144","116,474","287,799","689,256","737,687","836,372","1,061,592","844,623","939,233","728,206","644,623","109,585","79,783","491,115","533,264","713,213","708,040","590,729","1,054,105","923,169","932,051","636,309","337,019","273,735","266,150","361,283","237,018","336,412","485,235","837,509","836,278","1,057,076","1,088,942","1,093,850","1,002,307","307,614","174,181","127,114","184,570","532,259","743,750","925,190","1,088,325","877,761","1,019,587","1,062,922","721,461","458,379","468,430","384,454","575,451","389,324","354,883","903,467","724,054","67,261,923"
259,La Plata Hall,Residential,"1,225,149","1,243,028","2,018,819","712,042","479,757","436,205","514,840","467,834","593,899","615,595","769,471","895,553","1,313,239","998,488","1,085,073","581,146","510,740","444,574","517,568","575,338","665,594","529,299","868,262","1,332,451","1,221,754","815,681","873,157","545,772","512,550","522,011","445,415","456,916","626,781","517,190","795,490","1,028,255","1,131,345","865,819","906,193","811,514","557,631","390,610","492,490","614,765","593,951","563,886","863,252","987,074","1,169,382","698,433","791,025","655,026","580,955","433,201","522,327","557,751","560,509","476,398","656,712","900,193","931,382","864,353","652,471","382,458","337,433","395,225","396,843","489,814","592,170","424,379","571,502","1,087,721","1,013,556","990,301","670,502","475,261","359,931","369,258","462,955","494,106","592,906","612,457","805,341","858,651","1,006,619","750,998","553,241","487,939","460,443","460,524","438,679","566,842","475,948","574,122","709,288","1,191,282","852,260","742,066","706,621","597,211","447,897","470,445","432,708","639,508","566,646","459,549","1,037,702","838,249","74,833,138"
419,Oakland Hall,Residential,"2,329,140","2,417,507","1,924,805","1,359,376","2,033,953","2,088,501","2,974,021","2,213,280","2,579,158","1,751,942","1,637,511","1,930,152","1,868,529","1,768,175","1,539,173","1,451,249","1,472,002","1,879,706","1,567,022","3,137,878","1,503,652","2,536,733","1,966,534","1,766,568","1,813,075","1,516,887","1,765,824","1,532,445","1,127,326","1,288,802","1,596,965","1,388,185","1,583,541","1,605,167","1,979,783","1,882,557","2,056,584","1,645,083","1,976,036","1,434,698","1,759,331","1,450,699","1,680,684","1,799,319","1,697,891","1,516,408","1,720,853","1,744,720","2,301,304","1,885,936","1,826,373","2,008,931","2,380,876","2,114,618","2,703,063","2,591,422","2,700,677","2,108,680","1,589,337","1,708,172","1,636,763","1,814,265","1,318,297","1,272,820","1,353,239","1,483,589","1,871,823","2,219,179","1,766,252","1,170,085","1,391,035","2,016,630","1,988,402","1,748,853","1,381,651","1,502,957","1,263,229","1,455,237","1,651,098","1,864,894","1,965,251","1,549,839","1,491,143","1,607,205","1,711,770","1,552,455","1,498,983","1,574,515","1,850,305","1,693,940","2,117,551","2,290,300","1,459,922","1,454,756","1,661,361","2,081,233","1,659,043","1,761,475","1,912,373","1,889,242","1,685,543","1,894,208","1,500,153","1,986,037","1,828,778","1,637,536","1,902,872","2,112,828","194,679,735"
425,Prince Frederick Hall,Residential,"1,641,947","1,880,237","1,535,463","853,777","855,059","726,168","951,259","866,521","1,022,244","1,526,237","1,096,302","1,325,911","1,180,382","1,475,383","1,104,431","930,555","933,947","1,184,058","1,018,598","1,161,910","1,924,220","859,740","1,130,056","1,921,367","2,105,142","1,824,573","1,130,135","1,445,909","882,098","1,172,816","1,277,554","859,236","1,545,847","1,160,181","1,513,271","1,878,562","2,315,409","1,187,065","1,467,320","1,033,669","1,302,747","1,249,067","1,112,470","1,457,306","1,130,477","1,316,908","1,447,098","1,439,117","1,621,320","1,364,214","1,482,839","1,176,158","1,243,316","1,138,126","1,318,789","1,486,959","1,328,338","1,434,976","1,341,646","1,160,834","1,287,673","1,368,797","1,217,986","922,864","889,207","905,037","1,442,691","1,171,618","1,322,101","1,118,055","1,228,924","1,591,157","1,813,005","1,709,516","1,420,333","1,267,745","944,283","1,237,436","1,140,487","1,392,856","1,367,748","1,346,930","1,379,966","1,547,459","1,883,733","1,624,046","1,416,547","1,347,196","983,842","1,077,108","1,148,511","1,127,991","1,184,688","1,225,020","1,263,400","1,658,930","1,384,936","1,385,270","1,405,853","1,350,129","897,398","1,114,884","1,142,805","1,570,489","1,118,912","1,018,902","1,341,695","1,328,017","140,491,443"
Total by Month,,,"24,465,499","27,666,883","22,560,968","15,047,723","12,206,181","10,426,086","12,594,159","11,953,518","15,272,073","17,085,279","18,847,232","19,230,542","21,281,144","24,396,135","19,867,568","16,680,959","12,412,476","13,037,494","13,834,507","17,986,486","18,958,043","19,479,279","20,000,840","26,539,159","23,453,736","21,991,307","22,766,825","17,713,276","13,919,664","12,149,158","14,024,729","14,596,496","15,399,549","17,196,285","21,109,081","22,495,235","25,368,112","23,972,099","22,337,906","17,968,507","14,692,425","13,081,648","14,083,500","16,843,430","17,842,470","18,782,521","22,039,257","22,141,206","23,421,685","21,375,380","22,546,584","18,079,212","16,719,151","13,778,688","16,658,327","18,627,258","19,990,367","19,617,246","19,733,548","22,346,118","19,594,097","22,649,665","16,190,589","12,351,929","13,662,168","11,303,869","13,885,099","16,609,512","18,225,605","15,431,872","16,124,308","21,177,549","21,127,403","22,972,804","17,588,693","15,571,506","10,520,708","11,994,836","12,866,506","16,810,329","19,322,529","18,087,298","18,379,841","20,044,168","23,601,211","22,288,735","19,832,667","18,472,841","13,968,175","12,651,955","15,787,431","15,884,081","14,272,126","14,784,963","16,505,618","22,148,376","17,374,223","19,398,941","20,004,082","17,467,248","13,426,402","13,586,259","12,447,297","17,358,061","15,680,458","15,066,339","20,277,433","18,896,383","1,924,366,409"
