ID,Name,Type,Jan 2015 (kBtu),Feb 2015 (kBtu),Mar 2015 (kBtu),Apr 2015 (kBtu),May 2015 (kBtu),Jun 2015 (kBtu),Jul 2015 (kBtu),Aug 2015 (kBtu),Sep 2015 (kBtu),Oct 2015 (kBtu),Nov 2015 (kBtu),Dec 2015 (kBtu),Jan 2016 (kBtu),Feb 2016 (kBtu),Mar 2016 (kBtu),Apr 2016 (kBtu),May 2016 (kBtu),Jun 2016 (kBtu),Jul 2016 (kBtu),Aug 2016 (kBtu),Sep 2016 (kBtu),Oct 2016 (kBtu),Nov 2016 (kBtu),Dec 2016 (kBtu),Jan 2017 (kBtu),Feb 2017 (kBtu),Mar 2017 (kBtu),Apr 2017 (kBtu),May 2017 (kBtu),Jun 2017 (kBtu),Jul 2017 (kBtu),Aug 2017 (kBtu),Sep 2017 (kBtu),Oct 2017 (kBtu),Nov 2017 (kBtu),Dec 2017 (kBtu),Jan 2018 (kBtu),Feb 2018 (kBtu),Mar 2018 (kBtu),Apr 2018 (kBtu),May 2018 (kBtu),Jun 2018 (kBtu),Jul 2018 (kBtu),Aug 2018 (kBtu),Sep 2018 (kBtu),Oct 2018 (kBtu),Nov 2018 (kBtu),Dec 2018 (kBtu),Jan 2019 (kBtu),Feb 2019 (kBtu),Mar 2019 (kBtu),Apr 2019 (kBtu),May 2019 (kBtu),Jun 2019 (kBtu),Jul 2019 (kBtu),Aug 2019 (kBtu),Sep 2019 (kBtu),Oct 2019 (kBtu),Nov 2019 (kBtu),Dec 2019 (kBtu),Jan 2020 (kBtu),Feb 2020 (kBtu),Mar 2020 (kBtu),Apr 2020 (kBtu),May 2020 (kBtu),Jun 2020 (kBtu),Jul 2020 (kBtu),Aug 2020 (kBtu),Sep 2020 (kBtu),Oct 2020 (kBtu),Nov 2020 (kBtu),Dec 2020 (kBtu),Jan 2021 (kBtu),Feb 2021 (kBtu),Mar 2021 (kBtu),Apr 2021 (kBtu),May 2021 (kBtu),Jun 2021 (kBtu),Jul 2021 (kBtu),Aug 2021 (kBtu),Sep 2021 (kBtu),Oct 2021 (kBtu),Nov 2021 (kBtu),Dec 2021 (kBtu),Jan 2022 (kBtu),Feb 2022 (kBtu),Mar 2022 (kBtu),Apr 2022 (kBtu),May 2022 (kBtu),Jun 2022 (kBtu),Jul 2022 (kBtu),Aug 2022 (kBtu),Sep 2022 (kBtu),Oct 2022 (kBtu),Nov 2022 (kBtu),Dec 2022 (kBtu),Jan 2023 (kBtu),Feb 2023 (kBtu),Mar 2023 (kBtu),Apr 2023 (kBtu),May 2023 (kBtu),Jun 2023 (kBtu),Jul 2023 (kBtu),Aug 2023 (kBtu),Sep 2023 (kBtu),Oct 2023 (kBtu),Nov 2023 (kBtu),Dec 2023 (kBtu),Total
240,Leonardtown 240,Residential,"105,913","170,744","102,228","60,327","43,129","49,135","59,235","41,792","45,450","53,612","67,970","93,629","111,509","115,603","65,295","63,275","31,119","10,646","42,038","46,951","34,667","46,405","72,337","131,299","121,745","95,540","108,643","46,132","39,854","41,219","45,586","38,489","30,573","38,216","91,445","156,085","144,893","112,137","98,406","62,074","71,300","71,413","87,900","97,669","79,042","80,366","220,789","248,145","286,866","185,388","206,970","87,184","75,924","71,071","46,624","47,275","39,581","50,356","75,313","90,043","90,500","92,588","57,931","30,334","24,035","27,410","54,195","38,701","21,520","32,514","51,469","104,947","118,077","105,241","76,091","51,370","11,775","3,924","3,815","3,924","2,743","2,846","5,040","139,021","159,593","130,651","121,482","50,322",444,440,416,413,358,345,372,399,399,351,420,314,348,0,0,0,0,0,0,0,"6,771,641"
241,Leonardtown 241,Residential,"75,613","95,813","59,972","32,293","28,116","26,287","24,687","27,297","27,297","31,938","45,723","63,466","92,128","95,813","65,295","32,293","28,116","24,758","24,687","27,297","27,297","31,938","45,723","63,466","92,128","92,128","65,295","34,630","26,140","25,468","21,155","27,297","27,297","37,534","73,361","102,705","102,705","102,705","75,067","88,716","88,716","88,716","53,059","59,371","32,511","65,090","113,252","100,068","95,653","300,064","104,538","88,716","88,716","87,849","21,920","27,359","26,751","25,751","38,574","55,191","50,831","51,762","29,921","18,634","12,069","14,713","3,105","18,699","11,963","17,126","22,404","90,231","91,241","82,492","64,599","40,403","5,760","3,613","2,948","3,050","3,559","5,490","8,947","78,333","94,632","77,435","42,993","29,491",119,96,92,116,113,123,136,150,150,126,150,85,106,0,0,0,0,0,0,0,"4,631,511"
242,Leonardtown 242,Residential,"266,693","162,582","98,925","60,054","45,313","43,402","54,867","45,559","55,031","57,733","68,516","123,438","141,618","118,169","68,489","69,389","40,127","20,746","51,319","48,589","37,124","43,948","66,878","139,215","111,372","94,994","107,824","77,933","19,381","44,494","35,050","31,010","36,141","39,472","90,954","129,934","138,915","115,685","97,997","63,384","81,001","72,952","114,252","128,341","82,622","114,061","193,448","209,877","302,790","194,949","208,714","97,034","94,008","83,949","59,726","60,084","50,418","56,949","80,574","105,988","101,180","109,366","66,745","50,148","33,524","27,072","52,144","37,633","20,848","26,970","34,981","107,841","116,525","107,793","74,484","60,463","10,537","11,096","4,149","4,364","4,064","11,946","13,826","150,752","168,863","120,162","113,559","45,320",249,215,208,246,232,259,324,317,252,239,300,181,369,0,0,0,0,0,0,0,"7,243,748"
243,Leonardtown 243,Residential,"70,700","86,232","57,078","34,667","29,208","26,205","31,747","24,758","23,749","26,478","36,578","48,562","66,905","60,272","37,725","32,757","25,932","27,843","61,964","17,061","33,439","3,276","38,762","61,419","52,138","43,129","138,396","35,121","21,019","21,155","21,264","17,061","17,716","20,227","42,474","69,171","73,375","65,513","58,307","31,555","50,500","40,362","48,951","59,051","41,788","59,371","115,955","119,735","163,588","97,458","106,240","47,797","53,233","52,909","34,640","35,667","26,086","34,374","47,221","61,760","65,322","53,625","38,595","40,482","38,011","30,344","41,464","25,400","13,846","15,686","22,602","48,732","68,065","62,002","49,169","43,280","32,374","18,507","12,345","16,716","15,440","16,757","36,274","92,711","106,141","79,288","75,596","30,061",386,396,375,416,362,331,334,502,334,280,348,205,235,0,0,0,0,0,0,0,"4,180,965"
244,Leonardtown 244,Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Leonardtown 245,Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Leonardtown 246,Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Leonardtown 247,Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Leonardtown 248,Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Leonardtown 249,Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
